model,L1,RMSE,Δ_RMSE,✓,Pearson,Δ_Pearson,✓✓
exp7_open_xlmr_features_textual,es,1.8686165395552343,-0.662532352903813,✗,0.41650108741210307,-0.37080526103334904,✗
exp7_open_xlmr_features_textual,de,1.7827607242621195,-0.6340948505087589,✗,0.4313124574281465,-0.36907755196029945,✗
exp7_open_xlmr_features_textual,cn,1.6324866695318772,-0.6110902433304228,✗,0.5209771994683581,-0.28326244690922375,✗
,es,1.8686165395552343,-0.662532352903813,✗,0.41650108741210307,-0.37080526103334904,✗
,de,1.7827607242621195,-0.6340948505087589,✗,0.4313124574281465,-0.36907755196029945,✗
,cn,1.6324866695318772,-0.6110902433304228,✗,0.5209771994683581,-0.28326244690922375,✗
